,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,Algeria,DZA,1/29/2021,0.0,-109015.06302521005,0.0,0.0,0.0,0.0,-0.4020693277310956,0.0,0.0,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne
1,Algeria,DZA,1/30/2021,30.0,-108985.06302521005,0.0,30.0,30.0,0.0,-0.4020693277310956,0.0,1.0,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne
2,Argentina,ARG,12/29/2020,700.0,-108315.06302521005,0.0,0.0,0.0,0.0,-0.4020693277310956,0.0,0.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
4,Argentina,ARG,12/31/2020,32013.0,-77002.06302521005,0.0,0.0,15656.0,0.07,-0.3320693277310956,0.0,346.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
8,Argentina,ARG,1/4/2021,39599.0,-69416.06302521005,0.0,0.0,6483.0,0.09,-0.31206932773109564,0.0,143.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
12,Argentina,ARG,1/8/2021,107542.0,-1473.0630252100527,0.0,0.0,10519.0,0.24,-0.1620693277310956,0.0,233.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
17,Argentina,ARG,1/13/2021,166833.0,57817.93697478995,0.0,0.0,13323.0,0.37,-0.03206932773109561,0.0,295.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
19,Argentina,ARG,1/15/2021,200759.0,91743.93697478995,0.0,0.0,13317.0,0.44,0.0379306722689044,0.0,295.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
24,Argentina,ARG,1/20/2021,247933.0,243539.0,4394.0,0.0,11586.0,0.55,0.54,0.01,256.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
25,Argentina,ARG,1/21/2021,265724.0,249372.0,16352.0,17791.0,11704.0,0.59,0.55,0.04,259.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
